phase,sample_index,season,stem,sar_path,opt_path,steps,max_keypoints,extractor,extractor_policy,extractors,match_preprocess,matcher_strategy,selected_extractor,worker_success,registration_reliable,match_count,inliers,inlier_ratio,rmse,mean_score,difference_mean,dx,dy,reliability_reasons,poor_spatial_coverage,bad_homography_shape,cascade_rescued,matcher_candidates_json,generation_ms,registration_ms,total_ms,error,result_dir,reused
coarse,0,fall,ROIs1970_fall_114_p932,E:\Data\fall\s1_114\ROIs1970_fall_s1_114_p932.png,E:\Data\fall\s2_114\ROIs1970_fall_s2_114_p932.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,32,6,0.1875,0.9663,0.205628,40.1832,81.2492,-22.6132,inliers < 8;inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 385.45, ""error"": """", ""match_count"": 32, ""inliers"": 6, ""inlier_ratio"": 0.1875, ""rmse"": 0.9663, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1636.13,477.04,2117.86,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0000_ROIs1970_fall_114_p932,False
coarse,1,spring,ROIs1158_spring_79_p103,E:\Data\spring\s1_79\ROIs1158_spring_s1_79_p103.png,E:\Data\spring\s2_79\ROIs1158_spring_s2_79_p103.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,79,7,0.0886,0.5523,0.256323,93.9662,48.4285,20.6227,inliers < 8;inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 387.59, ""error"": """", ""match_count"": 79, ""inliers"": 7, ""inlier_ratio"": 0.0886, ""rmse"": 0.5523, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1642.87,476.65,2125.1,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0001_ROIs1158_spring_79_p103,False
coarse,2,summer,summer_img_temperate_p4776,E:\Data\summer\s1_160\summer_img_temperate_p4776.png,E:\Data\summer\s2_160\summer_img_temperate_p4776.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,5,4,0.8,0.0,0.191609,45.7091,-2462.431,5179.4736,inliers < 8;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 379.26, ""error"": """", ""match_count"": 5, ""inliers"": 4, ""inlier_ratio"": 0.8, ""rmse"": 0.0, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1639.52,458.8,2102.98,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0002_summer_img_temperate_p4776,False
coarse,3,winter,ROIs2017_winter_97_p18,E:\Data\winter\s1_97\ROIs2017_winter_s1_97_p18.png,E:\Data\winter\s2_97\ROIs2017_winter_s2_97_p18.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,82,6,0.0732,0.6391,0.224127,121.3009,120.3422,61.8393,inliers < 8;inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 381.46, ""error"": """", ""match_count"": 82, ""inliers"": 6, ""inlier_ratio"": 0.0732, ""rmse"": 0.6391, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1652.26,474.74,2132.67,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0003_ROIs2017_winter_97_p18,False
coarse,4,fall,ROIs1970_fall_35_p527,E:\Data\fall\s1_35\ROIs1970_fall_s1_35_p527.png,E:\Data\fall\s2_35\ROIs1970_fall_s2_35_p527.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,35,6,0.1714,0.7711,0.183585,100.0736,-463.8004,-184.1456,inliers < 8;inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 386.96, ""error"": """", ""match_count"": 35, ""inliers"": 6, ""inlier_ratio"": 0.1714, ""rmse"": 0.7711, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1649.46,475.14,2130.24,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0004_ROIs1970_fall_35_p527,False
coarse,5,spring,ROIs1158_spring_63_p750,E:\Data\spring\s1_63\ROIs1158_spring_s1_63_p750.png,E:\Data\spring\s2_63\ROIs1158_spring_s2_63_p750.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,True,331,182,0.5498,1.8842,0.298092,75.403,-3.9565,-2.9334,,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 411.87, ""error"": """", ""match_count"": 331, ""inliers"": 182, ""inlier_ratio"": 0.5498, ""rmse"": 1.8842, ""registration_reliable"": true, ""reliability_reasons"": [], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1640.56,501.99,2148.23,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0005_ROIs1158_spring_63_p750,False
coarse,6,summer,ROIs1868_summer_47_p745,E:\Data\summer\s1_47\ROIs1868_summer_s1_47_p745.png,E:\Data\summer\s2_47\ROIs1868_summer_s2_47_p745.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,True,220,75,0.3409,1.9677,0.269635,85.3633,-2.3387,1.4414,,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 413.7, ""error"": """", ""match_count"": 220, ""inliers"": 75, ""inlier_ratio"": 0.3409, ""rmse"": 1.9677, ""registration_reliable"": true, ""reliability_reasons"": [], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1622.93,524.56,2153.14,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0006_ROIs1868_summer_47_p745,False
coarse,7,winter,ROIs2017_winter_35_p879,E:\Data\winter\s1_35\ROIs2017_winter_s1_35_p879.png,E:\Data\winter\s2_35\ROIs2017_winter_s2_35_p879.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,24,5,0.2083,0.4155,0.217338,136.0363,-32.4065,66.8297,inliers < 8;inlier_ratio < 0.25;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 392.99, ""error"": """", ""match_count"": 24, ""inliers"": 5, ""inlier_ratio"": 0.2083, ""rmse"": 0.4155, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1649.59,473.52,2129.32,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0007_ROIs2017_winter_35_p879,False
coarse,8,fall,ROIs1970_fall_83_p473,E:\Data\fall\s1_83\ROIs1970_fall_s1_83_p473.png,E:\Data\fall\s2_83\ROIs1970_fall_s2_83_p473.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,51,5,0.098,0.2217,0.204104,57.438,31.405,27.9338,inliers < 8;inlier_ratio < 0.25,False,False,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 392.84, ""error"": """", ""match_count"": 51, ""inliers"": 5, ""inlier_ratio"": 0.098, ""rmse"": 0.2217, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""inlier_ratio < 0.25""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": false}]",1646.14,487.49,2137.41,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0008_ROIs1970_fall_83_p473,False
coarse,9,spring,ROIs1158_spring_42_p965,E:\Data\spring\s1_42\ROIs1158_spring_s1_42_p965.png,E:\Data\spring\s2_42\ROIs1158_spring_s2_42_p965.png,8,2048,superpoint,single,superpoint,rgb,single-superpoint-rgb,superpoint,True,False,22,6,0.2727,1.14,0.148862,39.9056,1058.3759,549.5854,inliers < 8;bad_homography_shape,False,True,False,"[{""extractor"": ""superpoint"", ""elapsed_ms"": 388.84, ""error"": """", ""match_count"": 22, ""inliers"": 6, ""inlier_ratio"": 0.2727, ""rmse"": 1.14, ""registration_reliable"": false, ""reliability_reasons"": [""inliers < 8"", ""bad_homography_shape""], ""poor_spatial_coverage"": false, ""bad_homography_shape"": true}]",1642.61,475.73,2123.8,,C:\Users\86158\Desktop\codxRoot\workspace\diffusion_lightglue_cascade_study_100\runs\coarse\strategy_single-superpoint-rgb_steps_8_keypoints_2048\0009_ROIs1158_spring_42_p965,False
