season,stem,sar_path,opt_path,quality_pass,reject_reasons,opt_edge_mean,opt_gray_std,opt_water_ratio,sar_edge_mean,sar_gray_std,sar_resolved_path,opt_resolved_path
winter,ROIs2017_winter_0_p101,E:\Data\winter\s1_0\ROIs2017_winter_s1_0_p101.png,E:\Data\winter\s2_0\ROIs2017_winter_s2_0_p101.png,True,,23.775146,24.401619,0.0,63.763458,41.458736,E:\Data\winter\s1_0\ROIs2017_winter_s1_0_p101.png,E:\Data\winter\s2_0\ROIs2017_winter_s2_0_p101.png
fall,ROIs1970_fall_27_p61,E:\Data\fall\s1_27\ROIs1970_fall_s1_27_p61.png,E:\Data\fall\s2_27\ROIs1970_fall_s2_27_p61.png,True,,16.972366,29.420747,0.001302,33.271606,26.948615,E:\Data\fall\s1_27\ROIs1970_fall_s1_27_p61.png,E:\Data\fall\s2_27\ROIs1970_fall_s2_27_p61.png
summer,ROIs1868_summer_128_p1087,E:\Data\summer\s1_128\ROIs1868_summer_s1_128_p1087.png,E:\Data\summer\s2_128\ROIs1868_summer_s2_128_p1087.png,True,,28.937714,42.175865,0.001736,54.563065,44.286341,E:\Data\summer\s1_128\ROIs1868_summer_s1_128_p1087.png,E:\Data\summer\s2_128\ROIs1868_summer_s2_128_p1087.png
spring,ROIs1158_spring_78_p433,E:\Data\spring\s1_78\ROIs1158_spring_s1_78_p433.png,E:\Data\spring\s2_78\ROIs1158_spring_s2_78_p433.png,True,,24.142426,33.36152,0.006944,48.6073,38.997433,E:\Data\spring\s1_78\ROIs1158_spring_s1_78_p433.png,E:\Data\spring\s2_78\ROIs1158_spring_s2_78_p433.png
fall,ROIs1970_fall_14_p1023,E:\Data\fall\s1_14\ROIs1970_fall_s1_14_p1023.png,E:\Data\fall\s2_14\ROIs1970_fall_s2_14_p1023.png,True,,25.173294,45.202931,0.00217,49.287933,39.546773,E:\Data\fall\s1_14\ROIs1970_fall_s1_14_p1023.png,E:\Data\fall\s2_14\ROIs1970_fall_s2_14_p1023.png
spring,ROIs1158_spring_26_p570,E:\Data\spring\s1_26\ROIs1158_spring_s1_26_p570.png,E:\Data\spring\s2_26\ROIs1158_spring_s2_26_p570.png,True,,31.795013,47.749573,0.005208,45.452011,45.618524,E:\Data\spring\s1_26\ROIs1158_spring_s1_26_p570.png,E:\Data\spring\s2_26\ROIs1158_spring_s2_26_p570.png
fall,ROIs1970_fall_59_p709,E:\Data\fall\s1_59\ROIs1970_fall_s1_59_p709.png,E:\Data\fall\s2_59\ROIs1970_fall_s2_59_p709.png,True,,35.629807,38.997553,0.00217,47.29509,41.809782,E:\Data\fall\s1_59\ROIs1970_fall_s1_59_p709.png,E:\Data\fall\s2_59\ROIs1970_fall_s2_59_p709.png
spring,ROIs1158_spring_38_p742,E:\Data\spring\s1_38\ROIs1158_spring_s1_38_p742.png,E:\Data\spring\s2_38\ROIs1158_spring_s2_38_p742.png,True,,32.240204,37.192636,0.007812,46.44133,51.257278,E:\Data\spring\s1_38\ROIs1158_spring_s1_38_p742.png,E:\Data\spring\s2_38\ROIs1158_spring_s2_38_p742.png
spring,ROIs1158_spring_144_p281,E:\Data\spring\s1_144\ROIs1158_spring_s1_144_p281.png,E:\Data\spring\s2_144\ROIs1158_spring_s2_144_p281.png,True,,30.382538,33.945173,0.0,55.305908,43.120835,E:\Data\spring\s1_144\ROIs1158_spring_s1_144_p281.png,E:\Data\spring\s2_144\ROIs1158_spring_s2_144_p281.png
fall,fall_img_tropical_p9709,E:\Data\fall\s1_150\fall_img_tropical_p9709.png,E:\Data\fall\s2_150\fall_img_tropical_p9709.png,True,,14.927338,19.170918,0.015191,33.9245,21.033993,E:\Data\fall\s1_150\fall_img_tropical_p9709.png,E:\Data\fall\s2_150\fall_img_tropical_p9709.png
fall,ROIs1970_fall_51_p690,E:\Data\fall\s1_51\ROIs1970_fall_s1_51_p690.png,E:\Data\fall\s2_51\ROIs1970_fall_s2_51_p690.png,True,,25.006973,35.593075,0.000434,50.457062,40.844448,E:\Data\fall\s1_51\ROIs1970_fall_s1_51_p690.png,E:\Data\fall\s2_51\ROIs1970_fall_s2_51_p690.png
