season,stem,sar_path,opt_path,quality_pass,reject_reasons,opt_edge_mean,opt_gray_std,opt_water_ratio,sar_edge_mean,sar_gray_std,sar_resolved_path,opt_resolved_path
spring,ROIs1158_spring_10_p73,E:\Data\spring\s1_10\ROIs1158_spring_s1_10_p73.png,E:\Data\spring\s2_10\ROIs1158_spring_s2_10_p73.png,False,low_texture,12.919739,31.930526,0.029948,27.788513,75.939117,E:\Data\spring\s1_10\ROIs1158_spring_s1_10_p73.png,E:\Data\spring\s2_10\ROIs1158_spring_s2_10_p73.png
winter,ROIs2017_winter_97_p1314,E:\Data\winter\s1_97\ROIs2017_winter_s1_97_p1314.png,E:\Data\winter\s2_97\ROIs2017_winter_s2_97_p1314.png,False,low_texture,7.804291,18.471337,0.0,65.125763,46.663299,E:\Data\winter\s1_97\ROIs2017_winter_s1_97_p1314.png,E:\Data\winter\s2_97\ROIs2017_winter_s2_97_p1314.png
winter,winter_img_temperate_p9683,E:\Data\winter\s1_170\winter_img_temperate_p9683.png,E:\Data\winter\s2_170\winter_img_temperate_p9683.png,False,low_texture,11.18454,12.442095,0.0,20.493149,15.75372,E:\Data\winter\s1_170\winter_img_temperate_p9683.png,E:\Data\winter\s2_170\winter_img_temperate_p9683.png
winter,winter_img_temperate_p4861,E:\Data\winter\s1_170\winter_img_temperate_p4861.png,E:\Data\winter\s2_170\winter_img_temperate_p4861.png,False,low_texture,27.738174,15.870749,0.0,10.893951,15.314365,E:\Data\winter\s1_170\winter_img_temperate_p4861.png,E:\Data\winter\s2_170\winter_img_temperate_p4861.png
fall,ROIs1970_fall_109_p1649,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p1649.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p1649.png,False,low_texture,10.726349,24.499263,0.083333,52.878647,40.679231,E:\Data\fall\s1_109\ROIs1970_fall_s1_109_p1649.png,E:\Data\fall\s2_109\ROIs1970_fall_s2_109_p1649.png
summer,ROIs1868_summer_90_p893,E:\Data\summer\s1_90\ROIs1868_summer_s1_90_p893.png,E:\Data\summer\s2_90\ROIs1868_summer_s2_90_p893.png,False,low_texture,11.718475,34.940876,0.010417,20.620316,56.717839,E:\Data\summer\s1_90\ROIs1868_summer_s1_90_p893.png,E:\Data\summer\s2_90\ROIs1868_summer_s2_90_p893.png
summer,ROIs1868_summer_54_p1282,E:\Data\summer\s1_54\ROIs1868_summer_s1_54_p1282.png,E:\Data\summer\s2_54\ROIs1868_summer_s2_54_p1282.png,False,water_like,24.822647,36.108028,0.980469,39.257217,51.002424,E:\Data\summer\s1_54\ROIs1868_summer_s1_54_p1282.png,E:\Data\summer\s2_54\ROIs1868_summer_s2_54_p1282.png
winter,winter_img_temperate_p8204,E:\Data\winter\s1_170\winter_img_temperate_p8204.png,E:\Data\winter\s2_170\winter_img_temperate_p8204.png,False,low_texture,12.695557,13.851941,0.0,18.08963,17.096337,E:\Data\winter\s1_170\winter_img_temperate_p8204.png,E:\Data\winter\s2_170\winter_img_temperate_p8204.png
spring,ROIs1158_spring_0_p979,E:\Data\spring\s1_0\ROIs1158_spring_s1_0_p979.png,E:\Data\spring\s2_0\ROIs1158_spring_s2_0_p979.png,False,low_texture,9.107895,9.398742,0.0,38.625427,37.245933,E:\Data\spring\s1_0\ROIs1158_spring_s1_0_p979.png,E:\Data\spring\s2_0\ROIs1158_spring_s2_0_p979.png
winter,ROIs2017_winter_140_p889,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p889.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p889.png,False,water_like,43.740128,49.498894,0.766059,22.62709,20.509069,E:\Data\winter\s1_140\ROIs2017_winter_s1_140_p889.png,E:\Data\winter\s2_140\ROIs2017_winter_s2_140_p889.png
