phase,steps,max_keypoints,n,worker_success_count,worker_failure_count,worker_success_rate,reliable_count,success_rate,median_rmse_reliable,median_rmse_all,median_inliers,median_inlier_ratio,median_match_count,median_total_ms,fail_few_inliers,fail_low_inlier_ratio,fail_high_rmse
coarse,6,512,50,50,0,1.0,6,0.12,1.58255,1.0795,6.0,0.21585,33.0,2026.585,36,32,0
coarse,6,1024,50,50,0,1.0,9,0.18,1.8258,1.2272,8.0,0.19615,68.0,2009.715,24,35,0
coarse,6,2048,50,50,0,1.0,21,0.42,1.8133,1.5514,11.0,0.23355,75.5,2058.44,13,27,0
coarse,8,512,50,50,0,1.0,6,0.12,1.66485,0.76115,6.0,0.19785,35.0,2973.63,40,33,0
coarse,8,1024,50,50,0,1.0,11,0.22,1.8208,1.21565,7.0,0.1921,55.0,2952.005,27,32,0
coarse,8,2048,50,50,0,1.0,22,0.44,1.7998,1.53035,9.0,0.2555,73.5,2117.835,20,24,0
coarse,12,512,50,50,0,1.0,12,0.24,1.66245,1.01705,6.0,0.2462,32.5,2342.935,32,25,0
coarse,12,1024,50,50,0,1.0,15,0.3,1.7646,1.3543,8.0,0.2158,56.5,2334.915,20,30,0
coarse,12,2048,50,50,0,1.0,24,0.48,1.8719,1.5366,12.0,0.3376,80.5,2340.7,18,20,0
verify,8,2048,100,100,0,1.0,39,0.39,1.8335,1.5127,10.0,0.23765,68.5,2114.035,33,54,0
verify,12,2048,100,100,0,1.0,38,0.38,1.81695,1.3404,9.0,0.2957,63.5,2333.255,34,47,0
