bad_homography_shape,case_id,checkerboard,coordinate_mode,difference_mean,elapsed_s,error,group,has_h_matrix_original,inlier_ratio,inliers,match_count,matches,ok,padding_filtered_count,poor_spatial_coverage,raw_match_count,registered_preview,registration_reliable,resize_mode,rmse,sample_id,selected_extractor,total_ms,variant
False,success_summer,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\stretch\checkerboard.png,stretched_canvas,62.821,15.13,,success,True,0.6856,434,633,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\stretch\lightglue_matches.png,True,0,False,633,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\stretch\sar_registered.png,True,stretch,1.8318,showcase_summer_strong,superpoint,5981.33,square
False,success_summer,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,62.4608,8.63,,success,True,0.6856,434,633,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\letterbox\lightglue_matches.png,True,0,False,633,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer\letterbox\sar_registered_original.png,True,letterbox,1.8318,showcase_summer_strong,superpoint,2871.35,square
False,success_winter,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\stretch\checkerboard.png,stretched_canvas,54.4674,7.42,,success,True,0.6982,347,497,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\stretch\lightglue_matches.png,True,0,False,497,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\stretch\sar_registered.png,True,stretch,1.7946,showcase_winter_strong,superpoint,2727.53,square
False,success_winter,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,54.2868,7.45,,success,True,0.6982,347,497,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\letterbox\lightglue_matches.png,True,0,False,497,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_winter\letterbox\sar_registered_original.png,True,letterbox,1.7946,showcase_winter_strong,superpoint,2760.29,square
False,success_rescue_spring,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\stretch\checkerboard.png,stretched_canvas,58.2979,7.86,,success_rescue,True,0.4183,146,349,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\stretch\lightglue_matches.png,True,0,False,349,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\stretch\sar_registered.png,True,stretch,1.9265,cascade_rescue_spring,aliked,2670.95,square
False,success_rescue_spring,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,57.9457,7.31,,success_rescue,True,0.4183,146,349,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\letterbox\lightglue_matches.png,True,0,False,349,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_rescue_spring\letterbox\sar_registered_original.png,True,letterbox,1.9265,cascade_rescue_spring,aliked,2656.12,square
False,boundary_winter,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\stretch\checkerboard.png,stretched_canvas,53.9468,7.41,,boundary,True,0.5,27,54,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\stretch\lightglue_matches.png,True,0,False,54,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\stretch\sar_registered.png,True,stretch,1.553,boundary_review_winter,superpoint,2859.01,square
False,boundary_winter,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,53.5118,7.97,,boundary,True,0.5,27,54,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\letterbox\lightglue_matches.png,True,0,False,54,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter\letterbox\sar_registered_original.png,True,letterbox,1.553,boundary_review_winter,superpoint,3245.4,square
True,success_summer_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\stretch\checkerboard.png,stretched_canvas,56.0123,7.21,,success_aspect,True,0.1875,6,32,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\stretch\lightglue_matches.png,True,0,False,32,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\stretch\sar_registered.png,False,stretch,0.5171,showcase_summer_strong,aliked,2618.3,aspect_stress
True,success_summer_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,54.1478,8.12,,success_aspect,True,0.3571,10,28,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\letterbox\lightglue_matches.png,True,0,False,28,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_aspect\letterbox\sar_registered_original.png,False,letterbox,1.2905,showcase_summer_strong,superpoint,2936.96,aspect_stress
True,boundary_winter_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\stretch\checkerboard.png,stretched_canvas,51.6946,9.96,,boundary_aspect,True,0.2609,6,23,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\stretch\lightglue_matches.png,True,0,False,23,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\stretch\sar_registered.png,False,stretch,0.3686,boundary_review_winter,aliked,3315.26,aspect_stress
False,boundary_winter_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,55.9998,8.91,,boundary_aspect,True,0.5294,9,17,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\letterbox\lightglue_matches.png,True,1,False,18,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\boundary_winter_aspect\letterbox\sar_registered_original.png,True,letterbox,1.7764,boundary_review_winter,superpoint,3329.6,aspect_stress
False,success_summer_crop,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\stretch\checkerboard.png,stretched_canvas,52.3763,8.03,,success_crop,True,0.22,11,50,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\stretch\lightglue_matches.png,True,0,False,50,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\stretch\sar_registered.png,False,stretch,1.4705,showcase_summer_strong,aliked,2636.66,crop_stress
False,success_summer_crop,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,56.5333,7.8,,success_crop,True,0.234,11,47,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\letterbox\lightglue_matches.png,True,0,False,47,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_comparison_20260428\success_summer_crop\letterbox\sar_registered_original.png,False,letterbox,1.583,showcase_summer_strong,aliked,2948.02,crop_stress
