bad_homography_shape,case_id,checkerboard,coordinate_mode,difference_mean,elapsed_s,error,inlier_ratio,inliers,match_count,matches,ok,opt_edge_mean,opt_gray_std,padding_filtered_count,poor_spatial_coverage,raw_match_count,registered_preview,registration_reliable,resize_mode,rmse,season,selected_extractor,stem,tier,total_ms,variant
False,fall_tier_1_of_3_ROIs1970_fall_79_p361,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\stretch\checkerboard.png,stretched_canvas,83.8686,9.21,,0.4737,9,19,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\stretch\lightglue_matches.png,True,14.099777,18.542678,0,False,19,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\stretch\sar_registered.png,True,stretch,0.9459,fall,superpoint,ROIs1970_fall_79_p361,tier_1_of_3,3354.17,square
False,fall_tier_1_of_3_ROIs1970_fall_79_p361,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,83.0156,8.18,,0.4737,9,19,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\letterbox\lightglue_matches.png,True,14.099777,18.542678,0,False,19,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361\letterbox\sar_registered_original.png,True,letterbox,0.9459,fall,superpoint,ROIs1970_fall_79_p361,tier_1_of_3,3353.27,square
True,fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\stretch\checkerboard.png,stretched_canvas,71.2259,7.52,,0.3043,7,23,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\stretch\lightglue_matches.png,True,14.099777,18.542678,0,False,23,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\stretch\sar_registered.png,False,stretch,1.1397,fall,aliked,ROIs1970_fall_79_p361,tier_1_of_3,2718.36,aspect_stress
True,fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,68.7504,7.41,,0.625,5,8,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\letterbox\lightglue_matches.png,True,14.099777,18.542678,0,True,8,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_1_of_3_ROIs1970_fall_79_p361_aspect\letterbox\sar_registered_original.png,False,letterbox,0.6809,fall,superpoint,ROIs1970_fall_79_p361,tier_1_of_3,2733.25,aspect_stress
False,fall_tier_2_of_3_ROIs1970_fall_16_p821,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\stretch\checkerboard.png,stretched_canvas,85.3677,8.0,,0.3679,39,106,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\stretch\lightglue_matches.png,True,27.461548,43.52864,0,False,106,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\stretch\sar_registered.png,True,stretch,1.9594,fall,superpoint,ROIs1970_fall_16_p821,tier_2_of_3,3295.8,square
False,fall_tier_2_of_3_ROIs1970_fall_16_p821,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,84.8128,7.92,,0.3679,39,106,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\letterbox\lightglue_matches.png,True,27.461548,43.52864,0,False,106,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821\letterbox\sar_registered_original.png,True,letterbox,1.9594,fall,superpoint,ROIs1970_fall_16_p821,tier_2_of_3,2732.8,square
False,fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\stretch\checkerboard.png,stretched_canvas,84.8345,7.83,,0.2444,22,90,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\stretch\lightglue_matches.png,True,27.461548,43.52864,0,False,90,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\stretch\sar_registered.png,False,stretch,1.8895,fall,superpoint,ROIs1970_fall_16_p821,tier_2_of_3,2842.05,aspect_stress
False,fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,82.9635,8.36,,0.4,16,40,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\letterbox\lightglue_matches.png,True,27.461548,43.52864,0,False,40,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_2_of_3_ROIs1970_fall_16_p821_aspect\letterbox\sar_registered_original.png,True,letterbox,1.7642,fall,aliked,ROIs1970_fall_16_p821,tier_2_of_3,3126.27,aspect_stress
True,fall_tier_3_of_3_ROIs1970_fall_74_p485,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\stretch\checkerboard.png,stretched_canvas,116.6023,7.32,,0.1429,6,42,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\stretch\lightglue_matches.png,True,82.234344,41.905162,0,False,42,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\stretch\sar_registered.png,False,stretch,1.1984,fall,superpoint,ROIs1970_fall_74_p485,tier_3_of_3,2633.93,square
True,fall_tier_3_of_3_ROIs1970_fall_74_p485,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,116.6023,7.55,,0.1429,6,42,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\letterbox\lightglue_matches.png,True,82.234344,41.905162,0,False,42,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485\letterbox\sar_registered_original.png,False,letterbox,1.1984,fall,superpoint,ROIs1970_fall_74_p485,tier_3_of_3,2840.97,square
True,fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\stretch\checkerboard.png,stretched_canvas,116.4229,7.37,,0.1515,5,33,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\stretch\lightglue_matches.png,True,82.234344,41.905162,0,False,33,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\stretch\sar_registered.png,False,stretch,0.4046,fall,superpoint,ROIs1970_fall_74_p485,tier_3_of_3,2706.79,aspect_stress
True,fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,114.3675,7.86,,0.3571,5,14,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\letterbox\lightglue_matches.png,True,82.234344,41.905162,2,False,16,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\fall_tier_3_of_3_ROIs1970_fall_74_p485_aspect\letterbox\sar_registered_original.png,False,letterbox,0.5549,fall,superpoint,ROIs1970_fall_74_p485,tier_3_of_3,3097.02,aspect_stress
False,spring_tier_1_of_3_ROIs1158_spring_78_p215,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\stretch\checkerboard.png,stretched_canvas,42.6366,8.54,,0.2353,8,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\stretch\lightglue_matches.png,True,14.597397,19.189079,0,False,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\stretch\sar_registered.png,False,stretch,1.2576,spring,aliked,ROIs1158_spring_78_p215,tier_1_of_3,3200.38,square
False,spring_tier_1_of_3_ROIs1158_spring_78_p215,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,42.1418,7.45,,0.2353,8,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\letterbox\lightglue_matches.png,True,14.597397,19.189079,0,False,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215\letterbox\sar_registered_original.png,False,letterbox,1.2576,spring,aliked,ROIs1158_spring_78_p215,tier_1_of_3,2747.91,square
True,spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\stretch\checkerboard.png,stretched_canvas,42.8688,7.82,,0.6875,11,16,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\stretch\lightglue_matches.png,True,14.597397,19.189079,0,True,16,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\stretch\sar_registered.png,False,stretch,1.5547,spring,aliked,ROIs1158_spring_78_p215,tier_1_of_3,3028.24,aspect_stress
False,spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,40.4145,9.0,,0.1765,6,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\letterbox\lightglue_matches.png,True,14.597397,19.189079,0,False,34,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_1_of_3_ROIs1158_spring_78_p215_aspect\letterbox\sar_registered_original.png,False,letterbox,0.7541,spring,aliked,ROIs1158_spring_78_p215,tier_1_of_3,3659.15,aspect_stress
False,spring_tier_2_of_3_ROIs1158_spring_98_p240,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\stretch\checkerboard.png,stretched_canvas,43.5443,8.07,,0.3423,38,111,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\stretch\lightglue_matches.png,True,31.044189,36.522739,0,False,111,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\stretch\sar_registered.png,True,stretch,2.2296,spring,superpoint,ROIs1158_spring_98_p240,tier_2_of_3,2821.44,square
False,spring_tier_2_of_3_ROIs1158_spring_98_p240,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,43.4112,7.72,,0.3423,38,111,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\letterbox\lightglue_matches.png,True,31.044189,36.522739,0,False,111,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240\letterbox\sar_registered_original.png,True,letterbox,2.2296,spring,superpoint,ROIs1158_spring_98_p240,tier_2_of_3,2821.55,square
False,spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\stretch\checkerboard.png,stretched_canvas,42.6236,8.29,,0.3662,26,71,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\stretch\lightglue_matches.png,True,31.044189,36.522739,0,False,71,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\stretch\sar_registered.png,True,stretch,1.8922,spring,aliked,ROIs1158_spring_98_p240,tier_2_of_3,2774.2,aspect_stress
True,spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\letterbox\checkerboard_original.png,letterbox_with_original_backprojection,41.9466,8.2,,0.3684,14,38,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\letterbox\lightglue_matches.png,True,31.044189,36.522739,0,False,38,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_2_of_3_ROIs1158_spring_98_p240_aspect\letterbox\sar_registered_original.png,False,letterbox,1.8936,spring,aliked,ROIs1158_spring_98_p240,tier_2_of_3,3211.5,aspect_stress
True,spring_tier_3_of_3_ROIs1158_spring_148_p522,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_3_of_3_ROIs1158_spring_148_p522\stretch\checkerboard.png,stretched_canvas,80.3137,7.97,,0.0896,6,67,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_3_of_3_ROIs1158_spring_148_p522\stretch\lightglue_matches.png,True,71.364365,44.768963,0,False,67,C:\Users\86158\Desktop\codxRoot\workspace\letterbox_real_pairs_20260428\spring_tier_3_of_3_ROIs1158_spring_148_p522\stretch\sar_registered.png,False,stretch,0.6069,spring,aliked,ROIs1158_spring_148_p522,tier_3_of_3,3246.21,square
